protein_id,cluster
GG|run4_1050_0002.pdb,XX|run8_1063_0003.pdb
r10_437_TrROS_Hall.pdb,r10_437_TrROS_Hall.pdb
r10_490_TrROS_Hall.pdb,r10_490_TrROS_Hall.pdb
r10_572_TrROS_Hall.pdb,r10_572_TrROS_Hall.pdb
r11_1081_TrROS_Hall.pdb,r11_1081_TrROS_Hall.pdb
r11_233_TrROS_Hall.pdb,r11_233_TrROS_Hall.pdb
r11_569_TrROS_Hall.pdb,r11_569_TrROS_Hall.pdb
r11_797_TrROS_Hall.pdb,r11_797_TrROS_Hall.pdb
r11_829_TrROS_Hall.pdb,r11_829_TrROS_Hall.pdb
r11_951_TrROS_Hall.pdb,r11_951_TrROS_Hall.pdb
r12_757_TrROS_Hall.pdb,r12_757_TrROS_Hall.pdb
r18_3_TrROS_Hall.pdb,r12_757_TrROS_Hall.pdb
r15_550_TrROS_Hall.pdb,r15_550_TrROS_Hall.pdb
r16_88_TrROS_Hall.pdb,r16_88_TrROS_Hall.pdb
r3_162_TrROS_Hall.pdb,r3_162_TrROS_Hall.pdb
r4_412_TrROS_Hall.pdb,r4_412_TrROS_Hall.pdb
r4_43_TrROS_Hall.pdb,r4_43_TrROS_Hall.pdb
r6_560_TrROS_Hall.pdb,r6_560_TrROS_Hall.pdb
2JTV.pdb,2JTV.pdb
2JVD.pdb,2JVD.pdb
2JVG.pdb,2JVG.pdb
2JZ2.pdb,2JZ2.pdb
2K1B.pdb,2K1B.pdb
2K28.pdb,2K1B.pdb
2K2A.pdb,2K2A.pdb
2AMI.pdb,2K2A.pdb
2RRT.pdb,2K2A.pdb
2M8U.pdb,2K2A.pdb
2K52.pdb_L42A,2K52.pdb_L42A
2K52.pdb_F21S,2K52.pdb_L42A
2K5H.pdb_G23A,2K5H.pdb_G23A
2K5H.pdb,2K5H.pdb_G23A
2K5H.pdb_G11S,2K5H.pdb_G23A
2K5N.pdb,2K5N.pdb
2K5P.pdb,2K5P.pdb
2K9D.pdb,2K9D.pdb
5LXJ.pdb,2K9D.pdb
2KCF.pdb,2KCF.pdb
1I6C.pdb,2KCF.pdb
2M8I.pdb,2KCF.pdb
2M8J.pdb,2KCF.pdb
2M9E.pdb,2KCF.pdb
2M9F.pdb,2KCF.pdb
2M9I.pdb,2KCF.pdb
2KCM.pdb,2KCM.pdb
2KFV.pdb,2KFV.pdb
2KGT.pdb,2KGT.pdb
2KRS.pdb_Y53S,2KRS.pdb_Y53S
2KRS.pdb_W42A,2KRS.pdb_Y53S
2KVS.pdb,2KVS.pdb
2KVT.pdb,2KVT.pdb
2KWH.pdb,2KWH.pdb
2KYB.pdb_K55A,2KYB.pdb_K55A
2KT8.pdb_G54S,2KYB.pdb_K55A
2KT8.pdb_V15A,2KYB.pdb_K55A
2KYB.pdb_G2S,2KYB.pdb_K55A
2L09.pdb,2L09.pdb
2KRU.pdb,2L09.pdb
2L2D.pdb,2L2D.pdb
2L33.pdb,2L33.pdb
2L6Q.pdb,2L6Q.pdb
2L9R.pdb,2L9R.pdb
2LC2.pdb,2LC2.pdb
3ZGK.pdb,2LC2.pdb
v2_2LC2.pdb,2LC2.pdb
2LCL.pdb,2LCL.pdb
2LHR.pdb,2LHR.pdb
2LQK.pdb,2LQK.pdb
2LVN.pdb,2LVN.pdb
4G3O.pdb,2LVN.pdb
2LX2.pdb_I32A,2LX2.pdb_I32A
2LYR.pdb,2LYR.pdb
2LYP.pdb_P41A,2LYR.pdb
2LYP.pdb_V26S,2LYR.pdb
2LYQ.pdb,2LYR.pdb
2M0Y.pdb,2M0Y.pdb
2M2J.pdb,2M2J.pdb
2M2L.pdb,2M2L.pdb
2M7O.pdb_I21A,2M7O.pdb_I21A
2M8E.pdb,2M8E.pdb
2MA4.pdb,2MA4.pdb
2MC5.pdb,2MC5.pdb
2MCK.pdb,2MCK.pdb
2MCH.pdb,2MCK.pdb
2MH8.pdb,2MH8.pdb
2MI6.pdb,2MI6.pdb
2MKX.pdb_N29S,2MKX.pdb_N29S
2MKX.pdb_L11A,2MKX.pdb_N29S
2MKY.pdb,2MKY.pdb
2MLB.pdb_L43D,2MLB.pdb_L43D
2MXD.pdb,2MXD.pdb
2MYX.pdb,2MYX.pdb
2N4R.pdb,2N4R.pdb
1E0L.pdb,2N4R.pdb
2MW9.pdb,2N4R.pdb
2MWA.pdb,2N4R.pdb
2MWB.pdb,2N4R.pdb
2N88.pdb,2N88.pdb
2O2W.pdb,2O2W.pdb
2OCH.pdb,2OCH.pdb
2LGW.pdb,2OCH.pdb
2LO1.pdb,2OCH.pdb
2M6Y.pdb,2OCH.pdb
6IWS.pdb,2OCH.pdb
2PTL.pdb_L38S,2PTL.pdb_L38S
2PTL.pdb_I58A,2PTL.pdb_L38S
2QFF.pdb,2QFF.pdb
r6_831_TrROS_Hall.pdb,r6_831_TrROS_Hall.pdb
r7_587_TrROS_Hall.pdb,r7_587_TrROS_Hall.pdb
v2K43S_2KVV.pdb,v2K43S_2KVV.pdb
v2R14S|R16S_2L3X.pdb,v2R14S|R16S_2L3X.pdb
5VNT.pdb,v2R14S|R16S_2L3X.pdb
3MYC.pdb,v2R14S|R16S_2L3X.pdb
1YU5.pdb,v2R14S|R16S_2L3X.pdb
2RJV.pdb,v2R14S|R16S_2L3X.pdb
v2R31S|R32S_2N5D.pdb,v2R31S|R32S_2N5D.pdb
v2_2HDZ.pdb,v2_2HDZ.pdb
v2_2LDM.pdb,v2_2LDM.pdb
v2_2LXE.pdb,v2_2LXE.pdb
v2_4UZX.pdb,v2_4UZX.pdb
v2_6IVS.pdb,v2_6IVS.pdb
3PG0,3PG0
P0ABQ4,P0ABQ4
P00648,P00648
P00025,P00025
P00044,P00025
P00004,P00025
P00045,P00025
P00974,P00974
P03050,P03050
P01053,P01053
P00651,P00651
P02633,P02633
P0AA25,P0AA25
P01308,P01308
P11540,P11540
P07107,P07107
P05413,P05413
P00094,P00094
P05798,P05798
P08463,P08463
P07445,P07445
P81708,P81708
P00698,P81708
P61626,P81708
P00282,P00282
P0A7Y4,P0A7Y4
P03051,P03051
P02185,P02185
P00720,P00720
P61823,P61823
P0A3H0,P0A3H0
P00099,P00099
P00257,P00257
P03706,P03706
P61024,P61024
P62942,P62942
P42771,P42771
P13479,P13479
P0A6F9,P0A6F9
P02417,P02417
P29160,P29160
P05230,P05230
Q13526,Q13526
P37001,P37001
P02631,P02631
P02625,P02631
P0A2D5,P0A2D5
P0AE67,P0A2D5
P00818,P00818
2IMM,2IMM
P01625,2IMM
P11053,P11053
P0A3C7,P11053
P00593,P00593
P00173,P00173
P00171,P00173
P04166,P00173
Q03026,Q03026
P0A3E0,P0A3E0
1YYX,1YYX
P04164,P04164
P04168,P04168
P00268,P00268
P24297,P00268
P00711,P00711
P00712,P00711
P01006,P01006
P01051,P01051
P02693,P02693
P07320,P07320
P08877,P08877
P0AA04,P08877
P10762,P10762
P22069,P22069
P30289,P30289
P41016,P41016
1CSQ.pdb_F9S,P41016
2LXK.pdb_G4A,P41016
1CSQ.pdb_F49A,P41016
1MJC.pdb_G17A,P41016
2LXK.pdb_F15S,P41016
P32081,P41016
P0A9X9,P41016
1MJC.pdb_L43S,P41016
2LSS.pdb_G6S,P41016
2LSS.pdb_F17A,P41016
P42773,P42773
P69543,P69543
2RRU.pdb,2RRU.pdb
2RU9.pdb,2RU9.pdb
2WNM.pdb,2WNM.pdb
2WQG.pdb,2WQG.pdb
4UZW.pdb,2WQG.pdb
2WXC.pdb,2WXC.pdb
1W4H.pdb,2WXC.pdb
2BTH.pdb,2WXC.pdb
2YSF.pdb,2YSF.pdb
2OP7.pdb,2YSF.pdb
1WR4.pdb,2YSF.pdb
3DKM.pdb,3DKM.pdb
3I35.pdb,3I35.pdb
3L1X.pdb,3L1X.pdb
3V1A.pdb,3V1A.pdb
4C26.pdb,4C26.pdb
5AHT.pdb,5AHT.pdb
2YSB.pdb,5AHT.pdb
5GU9.pdb_V60D,5GU9.pdb_V60D
5GU9.pdb_L66K,5GU9.pdb_V60D
5JRT.pdb,5JRT.pdb
5KPH.pdb,5KPH.pdb
5OAO.pdb,5OAO.pdb
5UBS.pdb,5UBS.pdb
1EM7.pdb_L7A,5UBS.pdb
1EM7.pdb_V54S,5UBS.pdb
1GB4.pdb_A27K,5UBS.pdb
1GB4.pdb_F53D,5UBS.pdb
1PGA.pdb_L5A,5UBS.pdb
1PGA.pdb_L7S,5UBS.pdb
1PGA.pdb_T51A,5UBS.pdb
1PGA.pdb_V39S,5UBS.pdb
1PGX.pdb_A27S,5UBS.pdb
1PGX.pdb_G42A,5UBS.pdb
2LUM.pdb,5UBS.pdb
2ZW1.pdb_V55S,5UBS.pdb
2ZW1.pdb_Y34A,5UBS.pdb
5UCE.pdb,5UBS.pdb
2LHC.pdb,5UBS.pdb
2JWS.pdb,5UBS.pdb
5UP5.pdb,5UP5.pdb
EHEE_rd1_0101.pdb,5UP5.pdb
EHEE_rd2_0196.pdb,5UP5.pdb
EHEE_rd2_1106.pdb,5UP5.pdb
5UYO.pdb,5UYO.pdb
HEEH_rd4_0097.pdb,5UYO.pdb
HEEH_rd4_0349.pdb,5UYO.pdb
5XR0.pdb_T53S,5XR0.pdb_T53S
1OPS.pdb,5XR0.pdb_T53S
1OPS.pdb_T53S,5XR0.pdb_T53S
1OPS.pdb_V44A,5XR0.pdb_T53S
1UCS.pdb_M59K,5XR0.pdb_T53S
P19614,5XR0.pdb_T53S
5Z2S.pdb,5Z2S.pdb
2M0C.pdb,5Z2S.pdb
2L7F.pdb,5Z2S.pdb
2L7M.pdb,5Z2S.pdb
6FVC.pdb,5Z2S.pdb
1ENH.pdb,5Z2S.pdb
2JWT.pdb,5Z2S.pdb
6ACV.pdb,6ACV.pdb
6EWU.pdb,6EWU.pdb
6EWS.pdb,6EWU.pdb
6EWT.pdb,6EWU.pdb
6M3N.pdb,6M3N.pdb
6NS8.pdb_L8K,6NS8.pdb_L8K
6OBK.pdb,6OBK.pdb
6SOW.pdb,6SOW.pdb
1LP1.pdb,6SOW.pdb
2B88.pdb,6SOW.pdb
2B88.pdb_pross1,6SOW.pdb
2B88.pdb_pross4,6SOW.pdb
2B89.pdb,6SOW.pdb
2KZI.pdb_pross1,6SOW.pdb
2KZJ.pdb,6SOW.pdb
v2_2M5A.pdb,6SOW.pdb
6YSE.pdb,6YSE.pdb
7BPM.pdb,7BPM.pdb
7JJK.pdb,7JJK.pdb
EA|run6_0680_0006.pdb,EA|run6_0680_0006.pdb
EA|run7_1025_0001.pdb,EA|run7_1025_0001.pdb
EEHEE_rd3_0130.pdb,EEHEE_rd3_0130.pdb
EEHEE_rd3_0146.pdb,EEHEE_rd3_0146.pdb
EEHEE_rd3_0602.pdb,EEHEE_rd3_0146.pdb
EEHEE_rd4_0256.pdb,EEHEE_rd3_0146.pdb
EEHEE_rd3_1367.pdb,EEHEE_rd3_1367.pdb
EEHEE_rd3_1716.pdb,EEHEE_rd3_1716.pdb
EEHEE_rd3_1498.pdb,EEHEE_rd3_1716.pdb
EEHEE_rd3_1702.pdb,EEHEE_rd3_1716.pdb
EEHEE_rd3_1818.pdb,EEHEE_rd3_1818.pdb
EEHEE_rd4_0784.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0371.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_1587.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0469.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0481.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0763.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_0809.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_0019.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_1615.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0363.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0647.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0794.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_1810.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0005.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0308.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_0094.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_1049.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd3_0657.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0003.pdb,EEHEE_rd4_0784.pdb
EEHEE_rd4_0470.pdb,EEHEE_rd4_0784.pdb
EHEE_rd1_0459.pdb,EHEE_rd1_0459.pdb
EHEE_rd2_0152.pdb,EHEE_rd1_0459.pdb
