protein_id,dataset,cluster,set
1WR4.pdb,tsu,1WR4.pdb,tsu_train
1Y0M.pdb,tsu,1Y0M.pdb,tsu_train
1YEZ.pdb_V46S,tsu,1YEZ.pdb_V46S,tsu_train
1YP5.pdb,tsu,1YP5.pdb,tsu_train
2BTT.pdb,tsu,1YP5.pdb,tsu_train
1YRF.pdb,tsu,1YRF.pdb,tsu_train
1VII.pdb,tsu,1YRF.pdb,tsu_train
1ZHC.pdb,tsu,1ZHC.pdb,tsu_train
1ZLM.pdb,tsu,1ZLM.pdb,tsu_train
2AMI.pdb,tsu,2AMI.pdb,tsu_train
2CDT.pdb,tsu,2CDT.pdb,tsu_train
1BK2.pdb_F47A,tsu,2CDT.pdb,tsu_train
1BK2.pdb_L5S,tsu,2CDT.pdb,tsu_train
1E6H.pdb,tsu,2CDT.pdb,tsu_train
1H8K.pdb,tsu,2CDT.pdb,tsu_train
1H8K.pdb_R44S,tsu,2CDT.pdb,tsu_train
1H8K.pdb_W36A,tsu,2CDT.pdb,tsu_train
1PWT.pdb,tsu,2CDT.pdb,tsu_train
1QKX.pdb,tsu,2CDT.pdb,tsu_train
2KR3.pdb,tsu,2CDT.pdb,tsu_train
2LJ3.pdb,tsu,2CDT.pdb,tsu_train
2ROT.pdb_F60A,tsu,2CDT.pdb,tsu_train
2ROT.pdb_W41S,tsu,2CDT.pdb,tsu_train
5FWB.pdb_A10S,tsu,2CDT.pdb,tsu_train
5FWB.pdb_M24A,tsu,2CDT.pdb,tsu_train
6SCW.pdb,tsu,2CDT.pdb,tsu_train
2CJJ.pdb,tsu,2CJJ.pdb,tsu_train
2D1U.pdb,tsu,2D1U.pdb,tsu_train
2EXD.pdb,tsu,2EXD.pdb,tsu_train
2GP8.pdb,tsu,2GP8.pdb,tsu_train
2HBB.pdb_pross9,tsu,2HBB.pdb_pross9,tsu_test
2HBB.pdb,tsu,2HBB.pdb_pross9,tsu_test
2HBB.pdb_pross4,tsu,2HBB.pdb_pross9,tsu_test
2HBB.pdb_pross6,tsu,2HBB.pdb_pross9,tsu_test
2HBB.pdb_pross7,tsu,2HBB.pdb_pross9,tsu_test
2JN4.pdb,tsu,2JN4.pdb,tsu_train
2JT1.pdb,tsu,2JT1.pdb,tsu_train
2RRU.pdb,tsu,2RRU.pdb,tsu_train
2RU9.pdb,tsu,2RU9.pdb,tsu_test
2WNM.pdb,tsu,2WNM.pdb,tsu_train
2WQG.pdb,tsu,2WQG.pdb,tsu_train
4UZW.pdb,tsu,2WQG.pdb,tsu_train
2WXC.pdb,tsu,2WXC.pdb,tsu_train
1W4H.pdb,tsu,2WXC.pdb,tsu_train
2BTH.pdb,tsu,2WXC.pdb,tsu_train
2YSB.pdb,tsu,2YSB.pdb,tsu_train
2YSF.pdb,tsu,2YSF.pdb,tsu_train
2OP7.pdb,tsu,2YSF.pdb,tsu_train
3DKM.pdb,tsu,3DKM.pdb,tsu_train
3I35.pdb,tsu,3I35.pdb,tsu_train
3L1X.pdb,tsu,3L1X.pdb,tsu_test
3MYC.pdb,tsu,3MYC.pdb,tsu_train
1YU5.pdb,tsu,3MYC.pdb,tsu_train
2RJV.pdb,tsu,3MYC.pdb,tsu_train
3V1A.pdb,tsu,3V1A.pdb,tsu_train
4C26.pdb,tsu,4C26.pdb,tsu_train
5AHT.pdb,tsu,5AHT.pdb,tsu_train
5GU9.pdb_V60D,tsu,5GU9.pdb_V60D,tsu_train
5GU9.pdb_L66K,tsu,5GU9.pdb_V60D,tsu_train
5JRT.pdb,tsu,5JRT.pdb,tsu_train
5KPH.pdb,tsu,5KPH.pdb,tsu_train
5LXJ.pdb,tsu,5LXJ.pdb,tsu_train
5OAO.pdb,tsu,5OAO.pdb,tsu_train
5UBS.pdb,tsu,5UBS.pdb,tsu_test
1EM7.pdb_L7A,tsu,5UBS.pdb,tsu_test
1EM7.pdb_V54S,tsu,5UBS.pdb,tsu_test
1GB4.pdb_A27K,tsu,5UBS.pdb,tsu_test
1GB4.pdb_F53D,tsu,5UBS.pdb,tsu_test
1PGA.pdb_L5A,tsu,5UBS.pdb,tsu_test
1PGA.pdb_L7S,tsu,5UBS.pdb,tsu_test
1PGA.pdb_T51A,tsu,5UBS.pdb,tsu_test
1PGA.pdb_V39S,tsu,5UBS.pdb,tsu_test
1PGX.pdb_A27S,tsu,5UBS.pdb,tsu_test
1PGX.pdb_G42A,tsu,5UBS.pdb,tsu_test
2LUM.pdb,tsu,5UBS.pdb,tsu_test
2ZW1.pdb_V55S,tsu,5UBS.pdb,tsu_test
2ZW1.pdb_Y34A,tsu,5UBS.pdb,tsu_test
5UCE.pdb,tsu,5UBS.pdb,tsu_test
5UP5.pdb,tsu,5UP5.pdb,tsu_train
EHEE_rd2_0196.pdb,tsu,5UP5.pdb,tsu_train
5UYO.pdb,tsu,5UYO.pdb,tsu_train
HEEH_rd4_0097.pdb,tsu,5UYO.pdb,tsu_train
HEEH_rd4_0349.pdb,tsu,5UYO.pdb,tsu_train
5VNT.pdb,tsu,5VNT.pdb,tsu_train
5XR0.pdb_T53S,tsu,5XR0.pdb_T53S,tsu_train
1OPS.pdb,tsu,5XR0.pdb_T53S,tsu_train
1OPS.pdb_T53S,tsu,5XR0.pdb_T53S,tsu_train
1OPS.pdb_V44A,tsu,5XR0.pdb_T53S,tsu_train
1UCS.pdb_M59K,tsu,5XR0.pdb_T53S,tsu_train
P19614,fp,5XR0.pdb_T53S,fp_finetune
5Z2S.pdb,tsu,5Z2S.pdb,tsu_test
6ACV.pdb,tsu,6ACV.pdb,tsu_test
6EWU.pdb,tsu,6EWU.pdb,tsu_train
6EWS.pdb,tsu,6EWU.pdb,tsu_train
6EWT.pdb,tsu,6EWU.pdb,tsu_train
6FVC.pdb,tsu,6FVC.pdb,tsu_train
1ENH.pdb,tsu,6FVC.pdb,tsu_train
2JWT.pdb,tsu,6FVC.pdb,tsu_train
6M3N.pdb,tsu,6M3N.pdb,tsu_train
6NS8.pdb_L8K,tsu,6NS8.pdb_L8K,tsu_train
6OBK.pdb,tsu,6OBK.pdb,tsu_test
6SOW.pdb,tsu,6SOW.pdb,tsu_test
1LP1.pdb,tsu,6SOW.pdb,tsu_test
2B88.pdb,tsu,6SOW.pdb,tsu_test
2B88.pdb_pross1,tsu,6SOW.pdb,tsu_test
2B88.pdb_pross4,tsu,6SOW.pdb,tsu_test
2B89.pdb,tsu,6SOW.pdb,tsu_test
2KZI.pdb_pross1,tsu,6SOW.pdb,tsu_test
2KZJ.pdb,tsu,6SOW.pdb,tsu_test
v2_2M5A.pdb,tsu,6SOW.pdb,tsu_test
6YSE.pdb,tsu,6YSE.pdb,tsu_train
7BPM.pdb,tsu,7BPM.pdb,tsu_train
7JJK.pdb,tsu,7JJK.pdb,tsu_train
EA|run3_0321_0005.pdb,tsu,EA|run3_0321_0005.pdb,tsu_train
EA|run3_0525_0006.pdb,tsu,EA|run3_0525_0006.pdb,tsu_train
EA|run5_0050_0004.pdb,tsu,EA|run5_0050_0004.pdb,tsu_test
EA|run6_0680_0006.pdb,tsu,EA|run6_0680_0006.pdb,tsu_test
EA|run7_1572_0002.pdb,tsu,EA|run7_1572_0002.pdb,tsu_test
EA|run3_1140_0005.pdb,tsu,EA|run7_1572_0002.pdb,tsu_test
EEHEE_rd3_0130.pdb,tsu,EEHEE_rd3_0130.pdb,tsu_test
EEHEE_rd3_1049.pdb,tsu,EEHEE_rd3_1049.pdb,tsu_train
EEHEE_rd3_0657.pdb,tsu,EEHEE_rd3_1049.pdb,tsu_train
EEHEE_rd3_0602.pdb,tsu,EEHEE_rd3_1049.pdb,tsu_train
EEHEE_rd3_0809.pdb,tsu,EEHEE_rd3_1049.pdb,tsu_train
EEHEE_rd3_0146.pdb,tsu,EEHEE_rd3_1049.pdb,tsu_train
EEHEE_rd3_1367.pdb,tsu,EEHEE_rd3_1367.pdb,tsu_train
EEHEE_rd3_1498.pdb,tsu,EEHEE_rd3_1498.pdb,tsu_train
EEHEE_rd3_1716.pdb,tsu,EEHEE_rd3_1716.pdb,tsu_train
EEHEE_rd3_1702.pdb,tsu,EEHEE_rd3_1716.pdb,tsu_train
EEHEE_rd3_1587.pdb,tsu,EEHEE_rd3_1716.pdb,tsu_train
EEHEE_rd3_1810.pdb,tsu,EEHEE_rd3_1810.pdb,tsu_test
EEHEE_rd3_1615.pdb,tsu,EEHEE_rd3_1810.pdb,tsu_test
EEHEE_rd3_0019.pdb,tsu,EEHEE_rd3_1810.pdb,tsu_test
EEHEE_rd3_0094.pdb,tsu,EEHEE_rd3_1810.pdb,tsu_test
EEHEE_rd3_1818.pdb,tsu,EEHEE_rd3_1818.pdb,tsu_train
EEHEE_rd4_0256.pdb,tsu,EEHEE_rd4_0256.pdb,tsu_train
EEHEE_rd4_0470.pdb,tsu,EEHEE_rd4_0470.pdb,tsu_train
EEHEE_rd4_0481.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0003.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0469.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0371.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0763.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0794.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0005.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0308.pdb,tsu,EEHEE_rd4_0481.pdb,tsu_train
EEHEE_rd4_0647.pdb,tsu,EEHEE_rd4_0647.pdb,tsu_test
EEHEE_rd4_0784.pdb,tsu,EEHEE_rd4_0784.pdb,tsu_test
EEHEE_rd4_0363.pdb,tsu,EEHEE_rd4_0784.pdb,tsu_test
EHEE_rd1_0101.pdb,tsu,EHEE_rd1_0101.pdb,tsu_test
EHEE_rd1_0407.pdb,tsu,EHEE_rd1_0407.pdb,tsu_train
EHEE_rd1_0459.pdb,tsu,EHEE_rd1_0459.pdb,tsu_train
EHEE_rd2_0152.pdb,tsu,EHEE_rd2_0152.pdb,tsu_train
EHEE_rd2_0487.pdb,tsu,EHEE_rd2_0487.pdb,tsu_train
EHEE_rd2_0601.pdb,tsu,EHEE_rd2_0601.pdb,tsu_train
EHEE_rd2_0751.pdb,tsu,EHEE_rd2_0751.pdb,tsu_train
EHEE_rd2_0191.pdb,tsu,EHEE_rd2_0751.pdb,tsu_train
EHEE_rd2_1106.pdb,tsu,EHEE_rd2_1106.pdb,tsu_test
EHEE_rd2_1257.pdb,tsu,EHEE_rd2_1257.pdb,tsu_train
EHEE_rd2_0372.pdb,tsu,EHEE_rd2_1257.pdb,tsu_train
EHEE_rd3_0035.pdb,tsu,EHEE_rd3_0035.pdb,tsu_train
EHEE_rd3_0053.pdb,tsu,EHEE_rd3_0053.pdb,tsu_train
EHEE_rd4_0044.pdb,tsu,EHEE_rd4_0044.pdb,tsu_train
EHEE_rd4_0098.pdb,tsu,EHEE_rd4_0098.pdb,tsu_train
EHEE_rd4_0195.pdb,tsu,EHEE_rd4_0195.pdb,tsu_test
EHEE_rd4_0325.pdb,tsu,EHEE_rd4_0325.pdb,tsu_train
EHEE_rd4_0394.pdb,tsu,EHEE_rd4_0394.pdb,tsu_train
EHEE_rd4_0463.pdb,tsu,EHEE_rd4_0463.pdb,tsu_train
EHEE_rd4_0625.pdb,tsu,EHEE_rd4_0625.pdb,tsu_train
EHEE_rd4_0502.pdb,tsu,EHEE_rd4_0625.pdb,tsu_train
EHEE_rd4_0172.pdb,tsu,EHEE_rd4_0625.pdb,tsu_train
EHEE_rd4_0726.pdb,tsu,EHEE_rd4_0726.pdb,tsu_train
EHEE_rd4_0840.pdb,tsu,EHEE_rd4_0840.pdb,tsu_test
EHEE_rd4_0864.pdb,tsu,EHEE_rd4_0864.pdb,tsu_train
EHEE_rd4_0086.pdb,tsu,EHEE_rd4_0864.pdb,tsu_train
EHEE_rd4_0877.pdb,tsu,EHEE_rd4_0877.pdb,tsu_train
GG|run1_1390_0006.pdb,tsu,GG|run1_1390_0006.pdb,tsu_test
GG|run3_1315_0003.pdb,tsu,GG|run3_1315_0003.pdb,tsu_train
GG|run4_0467_0002.pdb,tsu,GG|run4_0467_0002.pdb,tsu_train
GG|run4_1050_0002.pdb,tsu,GG|run4_1050_0002.pdb,tsu_train
GG|run5_0637_0006.pdb,tsu,GG|run5_0637_0006.pdb,tsu_test
GG|run5_1309_0004.pdb,tsu,GG|run5_1309_0004.pdb,tsu_train
GG|run2_0085_0001.pdb,tsu,GG|run5_1309_0004.pdb,tsu_train
GG|run5_1147_0004.pdb,tsu,GG|run5_1309_0004.pdb,tsu_train
GG|run6_0775_0006.pdb,tsu,GG|run6_0775_0006.pdb,tsu_test
GG|run6_0851_0003.pdb,tsu,GG|run6_0851_0003.pdb,tsu_test
GG|run4_0284_0002.pdb,tsu,GG|run6_0851_0003.pdb,tsu_test
HEEH_KT_rd6_0007.pdb,tsu,HEEH_KT_rd6_0007.pdb,tsu_train
HEEH_KT_rd6_0280.pdb,tsu,HEEH_KT_rd6_0280.pdb,tsu_train
HEEH_KT_rd6_0746.pdb,tsu,HEEH_KT_rd6_0746.pdb,tsu_test
HEEH_KT_rd6_0790.pdb,tsu,HEEH_KT_rd6_0790.pdb,tsu_test
HEEH_KT_rd6_0793.pdb,tsu,HEEH_KT_rd6_0793.pdb,tsu_test
HEEH_KT_rd6_0872.pdb,tsu,HEEH_KT_rd6_0872.pdb,tsu_train
HEEH_KT_rd6_1415.pdb,tsu,HEEH_KT_rd6_1415.pdb,tsu_train
HEEH_KT_rd6_3546.pdb,tsu,HEEH_KT_rd6_3546.pdb,tsu_train
HEEH_KT_rd6_3632.pdb,tsu,HEEH_KT_rd6_3632.pdb,tsu_train
HEEH_rd3_0055.pdb,tsu,HEEH_rd3_0055.pdb,tsu_train
HEEH_rd3_0223.pdb,tsu,HEEH_rd3_0223.pdb,tsu_train
HEEH_rd4_0094.pdb,tsu,HEEH_rd4_0094.pdb,tsu_train
HHH_rd1_0142.pdb,tsu,HHH_rd1_0142.pdb,tsu_train
HHH_rd1_0244.pdb,tsu,HHH_rd1_0244.pdb,tsu_test
HHH_rd1_0335.pdb,tsu,HHH_rd1_0335.pdb,tsu_train
HHH_rd1_0473.pdb,tsu,HHH_rd1_0473.pdb,tsu_train
HHH_rd1_0493.pdb,tsu,HHH_rd1_0493.pdb,tsu_train
HHH_rd1_0516.pdb,tsu,HHH_rd1_0516.pdb,tsu_train
HHH_rd1_0578.pdb,tsu,HHH_rd1_0578.pdb,tsu_train
HHH_rd1_0598.pdb,tsu,HHH_rd1_0598.pdb,tsu_train
HHH_rd1_0606.pdb,tsu,HHH_rd1_0606.pdb,tsu_train
HHH_rd1_0949.pdb,tsu,HHH_rd1_0949.pdb,tsu_train
HHH_rd2_0155.pdb,tsu,HHH_rd2_0155.pdb,tsu_train
HHH_rd2_0181.pdb,tsu,HHH_rd2_0181.pdb,tsu_train
HHH_rd4_0395.pdb,tsu,HHH_rd4_0395.pdb,tsu_train
HHH_rd4_0557.pdb,tsu,HHH_rd4_0557.pdb,tsu_train
HHH_rd4_0613.pdb,tsu,HHH_rd4_0613.pdb,tsu_train
HHH_rd4_0124.pdb,tsu,HHH_rd4_0613.pdb,tsu_train
HHH_rd4_0676.pdb,tsu,HHH_rd4_0676.pdb,tsu_train
HHH_rd4_0816.pdb,tsu,HHH_rd4_0816.pdb,tsu_train
HHH_rd4_0870.pdb,tsu,HHH_rd4_0870.pdb,tsu_train
XX|run1_0254_0003.pdb,tsu,XX|run1_0254_0003.pdb,tsu_test
GG|run6_1310_0004.pdb,tsu,XX|run1_0254_0003.pdb,tsu_test
EA|run2_0325_0005.pdb,tsu,XX|run1_0254_0003.pdb,tsu_test
XX|run5_1034_0004.pdb,tsu,XX|run1_0254_0003.pdb,tsu_test
GG|run3_1365_0003.pdb,tsu,XX|run1_0254_0003.pdb,tsu_test
XX|run1_0367_0004.pdb,tsu,XX|run1_0367_0004.pdb,tsu_test
XX|run1_0455_0002.pdb,tsu,XX|run1_0455_0002.pdb,tsu_train
EA|run2_0290_0001.pdb,tsu,XX|run1_0455_0002.pdb,tsu_train
XX|run10_1081_0004.pdb,tsu,XX|run1_0455_0002.pdb,tsu_train
EA|run7_1025_0001.pdb,tsu,XX|run1_0455_0002.pdb,tsu_train
XX|run1_0461_0006.pdb,tsu,XX|run1_0461_0006.pdb,tsu_train
XX|run3_1384_0005.pdb,tsu,XX|run3_1384_0005.pdb,tsu_train
XX|run5_0690_0002.pdb,tsu,XX|run5_0690_0002.pdb,tsu_train
XX|run6_1020_0004.pdb,tsu,XX|run6_1020_0004.pdb,tsu_train
XX|run6_1081_0004.pdb,tsu,XX|run6_1081_0004.pdb,tsu_train
XX|run7_0974_0003.pdb,tsu,XX|run7_0974_0003.pdb,tsu_train
XX|run8_0733_0006.pdb,tsu,XX|run8_0733_0006.pdb,tsu_train
XX|run8_1063_0003.pdb,tsu,XX|run8_1063_0003.pdb,tsu_train
EA|run6_1429_0006.pdb,tsu,XX|run8_1063_0003.pdb,tsu_train
XX|run8_1098_0003.pdb,tsu,XX|run8_1098_0003.pdb,tsu_test
r10_437_TrROS_Hall.pdb,tsu,r10_437_TrROS_Hall.pdb,tsu_test
r10_490_TrROS_Hall.pdb,tsu,r10_490_TrROS_Hall.pdb,tsu_train
r10_572_TrROS_Hall.pdb,tsu,r10_572_TrROS_Hall.pdb,tsu_train
r11_1081_TrROS_Hall.pdb,tsu,r11_1081_TrROS_Hall.pdb,tsu_train
r11_233_TrROS_Hall.pdb,tsu,r11_233_TrROS_Hall.pdb,tsu_train
r11_569_TrROS_Hall.pdb,tsu,r11_569_TrROS_Hall.pdb,tsu_train
r11_797_TrROS_Hall.pdb,tsu,r11_797_TrROS_Hall.pdb,tsu_train
r11_829_TrROS_Hall.pdb,tsu,r11_829_TrROS_Hall.pdb,tsu_train
r11_951_TrROS_Hall.pdb,tsu,r11_951_TrROS_Hall.pdb,tsu_test
r12_757_TrROS_Hall.pdb,tsu,r12_757_TrROS_Hall.pdb,tsu_train
r18_3_TrROS_Hall.pdb,tsu,r12_757_TrROS_Hall.pdb,tsu_train
r15_550_TrROS_Hall.pdb,tsu,r15_550_TrROS_Hall.pdb,tsu_train
r16_88_TrROS_Hall.pdb,tsu,r16_88_TrROS_Hall.pdb,tsu_train
r3_162_TrROS_Hall.pdb,tsu,r3_162_TrROS_Hall.pdb,tsu_test
r4_412_TrROS_Hall.pdb,tsu,r4_412_TrROS_Hall.pdb,tsu_train
r4_43_TrROS_Hall.pdb,tsu,r4_43_TrROS_Hall.pdb,tsu_train
r6_560_TrROS_Hall.pdb,tsu,r6_560_TrROS_Hall.pdb,tsu_train
2JTV.pdb,tsu,2JTV.pdb,tsu_train
2JVD.pdb,tsu,2JVD.pdb,tsu_train
2JVG.pdb,tsu,2JVG.pdb,tsu_test
2JZ2.pdb,tsu,2JZ2.pdb,tsu_train
2K1B.pdb,tsu,2K1B.pdb,tsu_train
2K28.pdb,tsu,2K1B.pdb,tsu_train
2K2A.pdb,tsu,2K2A.pdb,tsu_test
2RRT.pdb,tsu,2K2A.pdb,tsu_test
2K52.pdb_L42A,tsu,2K52.pdb_L42A,tsu_train
2K52.pdb_F21S,tsu,2K52.pdb_L42A,tsu_train
2K5H.pdb_G23A,tsu,2K5H.pdb_G23A,tsu_train
2K5H.pdb,tsu,2K5H.pdb_G23A,tsu_train
2K5H.pdb_G11S,tsu,2K5H.pdb_G23A,tsu_train
2K5N.pdb,tsu,2K5N.pdb,tsu_test
2K5P.pdb,tsu,2K5P.pdb,tsu_train
2K9D.pdb,tsu,2K9D.pdb,tsu_test
2KCF.pdb,tsu,2KCF.pdb,tsu_train
1I6C.pdb,tsu,2KCF.pdb,tsu_train
2M8I.pdb,tsu,2KCF.pdb,tsu_train
2M8J.pdb,tsu,2KCF.pdb,tsu_train
2M9E.pdb,tsu,2KCF.pdb,tsu_train
2M9F.pdb,tsu,2KCF.pdb,tsu_train
2M9I.pdb,tsu,2KCF.pdb,tsu_train
2KCM.pdb,tsu,2KCM.pdb,tsu_test
2KFV.pdb,tsu,2KFV.pdb,tsu_train
2KGT.pdb,tsu,2KGT.pdb,tsu_train
2KRS.pdb_Y53S,tsu,2KRS.pdb_Y53S,tsu_train
2KRS.pdb_W42A,tsu,2KRS.pdb_Y53S,tsu_train
2KRU.pdb,tsu,2KRU.pdb,tsu_test
2KVS.pdb,tsu,2KVS.pdb,tsu_train
2KVT.pdb,tsu,2KVT.pdb,tsu_test
2KWH.pdb,tsu,2KWH.pdb,tsu_train
2KYB.pdb_K55A,tsu,2KYB.pdb_K55A,tsu_train
2KT8.pdb_G54S,tsu,2KYB.pdb_K55A,tsu_train
2KT8.pdb_V15A,tsu,2KYB.pdb_K55A,tsu_train
2KYB.pdb_G2S,tsu,2KYB.pdb_K55A,tsu_train
2L09.pdb,tsu,2L09.pdb,tsu_train
2L2D.pdb,tsu,2L2D.pdb,tsu_train
2L33.pdb,tsu,2L33.pdb,tsu_train
2L6Q.pdb,tsu,2L6Q.pdb,tsu_train
2L9R.pdb,tsu,2L9R.pdb,tsu_train
2LC2.pdb,tsu,2LC2.pdb,tsu_train
3ZGK.pdb,tsu,2LC2.pdb,tsu_train
v2_2LC2.pdb,tsu,2LC2.pdb,tsu_train
2LCL.pdb,tsu,2LCL.pdb,tsu_test
2LHC.pdb,tsu,2LHC.pdb,tsu_train
2JWS.pdb,tsu,2LHC.pdb,tsu_train
2LHR.pdb,tsu,2LHR.pdb,tsu_train
2LQK.pdb,tsu,2LQK.pdb,tsu_train
2LSS.pdb_G6S,tsu,2LSS.pdb_G6S,tsu_train
2LSS.pdb_F17A,tsu,2LSS.pdb_G6S,tsu_train
2LVN.pdb,tsu,2LVN.pdb,tsu_train
4G3O.pdb,tsu,2LVN.pdb,tsu_train
2LX2.pdb_I32A,tsu,2LX2.pdb_I32A,tsu_test
2LYR.pdb,tsu,2LYR.pdb,tsu_train
2LYP.pdb_P41A,tsu,2LYR.pdb,tsu_train
2LYP.pdb_V26S,tsu,2LYR.pdb,tsu_train
2LYQ.pdb,tsu,2LYR.pdb,tsu_train
2M0C.pdb,tsu,2M0C.pdb,tsu_train
2L7F.pdb,tsu,2M0C.pdb,tsu_train
2L7M.pdb,tsu,2M0C.pdb,tsu_train
2M0Y.pdb,tsu,2M0Y.pdb,tsu_train
2M2J.pdb,tsu,2M2J.pdb,tsu_test
2M2L.pdb,tsu,2M2L.pdb,tsu_train
2M7O.pdb_I21A,tsu,2M7O.pdb_I21A,tsu_train
2M8E.pdb,tsu,2M8E.pdb,tsu_train
2M8U.pdb,tsu,2M8U.pdb,tsu_train
2MA4.pdb,tsu,2MA4.pdb,tsu_train
2MC5.pdb,tsu,2MC5.pdb,tsu_train
2MCK.pdb,tsu,2MCK.pdb,tsu_train
2MCH.pdb,tsu,2MCK.pdb,tsu_train
2MH8.pdb,tsu,2MH8.pdb,tsu_train
2MI6.pdb,tsu,2MI6.pdb,tsu_train
2MKX.pdb_N29S,tsu,2MKX.pdb_N29S,tsu_train
2MKX.pdb_L11A,tsu,2MKX.pdb_N29S,tsu_train
2MKY.pdb,tsu,2MKY.pdb,tsu_test
2MLB.pdb_L43D,tsu,2MLB.pdb_L43D,tsu_train
2MXD.pdb,tsu,2MXD.pdb,tsu_train
2MYX.pdb,tsu,2MYX.pdb,tsu_train
2N4R.pdb,tsu,2N4R.pdb,tsu_train
1E0L.pdb,tsu,2N4R.pdb,tsu_train
2MW9.pdb,tsu,2N4R.pdb,tsu_train
2MWA.pdb,tsu,2N4R.pdb,tsu_train
2MWB.pdb,tsu,2N4R.pdb,tsu_train
2N88.pdb,tsu,2N88.pdb,tsu_test
2O2W.pdb,tsu,2O2W.pdb,tsu_train
2OCH.pdb,tsu,2OCH.pdb,tsu_train
2LGW.pdb,tsu,2OCH.pdb,tsu_train
2LO1.pdb,tsu,2OCH.pdb,tsu_train
2M6Y.pdb,tsu,2OCH.pdb,tsu_train
6IWS.pdb,tsu,2OCH.pdb,tsu_train
2PTL.pdb_L38S,tsu,2PTL.pdb_L38S,tsu_train
2PTL.pdb_I58A,tsu,2PTL.pdb_L38S,tsu_train
2QFF.pdb,tsu,2QFF.pdb,tsu_test
r6_831_TrROS_Hall.pdb,tsu,r6_831_TrROS_Hall.pdb,tsu_train
r7_587_TrROS_Hall.pdb,tsu,r7_587_TrROS_Hall.pdb,tsu_train
v2K43S_2KVV.pdb,tsu,v2K43S_2KVV.pdb,tsu_train
