protein_id,cluster
EHEE_rd2_0191.pdb,EHEE_rd2_0191.pdb
EHEE_rd2_0196.pdb,EHEE_rd2_0196.pdb
EHEE_rd2_0372.pdb,EHEE_rd2_0372.pdb
EHEE_rd2_0487.pdb,EHEE_rd2_0487.pdb
EHEE_rd2_0601.pdb,EHEE_rd2_0601.pdb
EHEE_rd2_0751.pdb,EHEE_rd2_0751.pdb
EHEE_rd2_1106.pdb,EHEE_rd2_1106.pdb
EHEE_rd2_1257.pdb,EHEE_rd2_1257.pdb
EHEE_rd3_0035.pdb,EHEE_rd3_0035.pdb
EHEE_rd3_0053.pdb,EHEE_rd3_0053.pdb
EHEE_rd4_0044.pdb,EHEE_rd4_0044.pdb
EHEE_rd4_0086.pdb,EHEE_rd4_0086.pdb
EHEE_rd4_0098.pdb,EHEE_rd4_0098.pdb
EHEE_rd4_0172.pdb,EHEE_rd4_0172.pdb
EHEE_rd4_0195.pdb,EHEE_rd4_0195.pdb
EHEE_rd4_0325.pdb,EHEE_rd4_0325.pdb
EHEE_rd4_0394.pdb,EHEE_rd4_0394.pdb
EHEE_rd4_0463.pdb,EHEE_rd4_0463.pdb
EHEE_rd4_0502.pdb,EHEE_rd4_0502.pdb
EHEE_rd4_0625.pdb,EHEE_rd4_0625.pdb
EHEE_rd4_0726.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0840.pdb,EHEE_rd4_0840.pdb
EHEE_rd4_0864.pdb,EHEE_rd4_0864.pdb
EHEE_rd4_0877.pdb,EHEE_rd4_0877.pdb
GG|run1_1390_0006.pdb,GG|run1_1390_0006.pdb
GG|run2_0085_0001.pdb,GG|run2_0085_0001.pdb
GG|run3_1315_0003.pdb,GG|run3_1315_0003.pdb
GG|run3_1365_0003.pdb,GG|run3_1365_0003.pdb
GG|run4_0284_0002.pdb,GG|run4_0284_0002.pdb
GG|run4_0467_0002.pdb,GG|run4_0467_0002.pdb
GG|run4_1050_0002.pdb,GG|run4_1050_0002.pdb
GG|run5_0637_0006.pdb,GG|run5_0637_0006.pdb
GG|run5_1147_0004.pdb,GG|run5_1147_0004.pdb
GG|run5_1309_0004.pdb,GG|run5_1309_0004.pdb
GG|run6_0775_0006.pdb,GG|run6_0775_0006.pdb
GG|run6_0851_0003.pdb,GG|run6_0851_0003.pdb
GG|run6_1310_0004.pdb,GG|run6_1310_0004.pdb
HEEH_KT_rd6_0007.pdb,HEEH_KT_rd6_0007.pdb
HEEH_KT_rd6_0280.pdb,HEEH_KT_rd6_0280.pdb
HEEH_KT_rd6_0746.pdb,HEEH_KT_rd6_0746.pdb
HEEH_KT_rd6_0790.pdb,HEEH_KT_rd6_0790.pdb
HEEH_KT_rd6_0793.pdb,HEEH_KT_rd6_0793.pdb
HEEH_KT_rd6_0872.pdb,HEEH_KT_rd6_0872.pdb
HEEH_KT_rd6_1415.pdb,HEEH_KT_rd6_1415.pdb
HEEH_KT_rd6_3546.pdb,HEEH_KT_rd6_3546.pdb
HEEH_KT_rd6_3632.pdb,HEEH_KT_rd6_3632.pdb
HEEH_rd3_0055.pdb,HEEH_rd3_0055.pdb
HEEH_rd3_0223.pdb,HEEH_rd3_0223.pdb
HEEH_rd4_0094.pdb,HEEH_rd4_0094.pdb
HEEH_rd4_0349.pdb,HEEH_rd4_0349.pdb
HHH_rd1_0142.pdb,HHH_rd1_0142.pdb
HHH_rd1_0244.pdb,HHH_rd1_0244.pdb
HHH_rd1_0335.pdb,HHH_rd1_0335.pdb
HHH_rd1_0473.pdb,HHH_rd1_0473.pdb
HHH_rd1_0493.pdb,HHH_rd1_0493.pdb
HHH_rd1_0516.pdb,HHH_rd1_0516.pdb
HHH_rd1_0578.pdb,HHH_rd1_0578.pdb
HHH_rd1_0598.pdb,HHH_rd1_0598.pdb
HHH_rd1_0606.pdb,HHH_rd1_0606.pdb
HHH_rd1_0949.pdb,HHH_rd1_0949.pdb
HHH_rd2_0155.pdb,HHH_rd2_0155.pdb
HHH_rd2_0181.pdb,HHH_rd2_0181.pdb
HHH_rd4_0124.pdb,HHH_rd4_0124.pdb
HHH_rd4_0395.pdb,HHH_rd4_0395.pdb
HHH_rd4_0557.pdb,HHH_rd4_0557.pdb
HHH_rd4_0613.pdb,HHH_rd4_0613.pdb
HHH_rd4_0676.pdb,HHH_rd4_0676.pdb
HHH_rd4_0816.pdb,HHH_rd4_0816.pdb
HHH_rd4_0870.pdb,HHH_rd4_0870.pdb
XX|run10_1081_0004.pdb,XX|run10_1081_0004.pdb
XX|run1_0254_0003.pdb,XX|run1_0254_0003.pdb
XX|run1_0367_0004.pdb,XX|run1_0367_0004.pdb
XX|run1_0455_0002.pdb,XX|run1_0455_0002.pdb
XX|run1_0461_0006.pdb,XX|run1_0461_0006.pdb
XX|run3_1384_0005.pdb,XX|run3_1384_0005.pdb
XX|run5_0690_0002.pdb,XX|run5_0690_0002.pdb
XX|run5_1034_0004.pdb,XX|run5_1034_0004.pdb
XX|run6_1020_0004.pdb,XX|run6_1020_0004.pdb
XX|run6_1081_0004.pdb,XX|run6_1081_0004.pdb
XX|run7_0974_0003.pdb,XX|run7_0974_0003.pdb
XX|run8_0733_0006.pdb,XX|run8_0733_0006.pdb
XX|run8_1063_0003.pdb,XX|run8_1063_0003.pdb
XX|run8_1098_0003.pdb,XX|run8_1098_0003.pdb
r10_437_TrROS_Hall.pdb,r10_437_TrROS_Hall.pdb
r10_490_TrROS_Hall.pdb,r10_490_TrROS_Hall.pdb
r10_572_TrROS_Hall.pdb,r10_572_TrROS_Hall.pdb
r11_1081_TrROS_Hall.pdb,r11_1081_TrROS_Hall.pdb
r11_233_TrROS_Hall.pdb,r11_233_TrROS_Hall.pdb
r11_569_TrROS_Hall.pdb,r11_569_TrROS_Hall.pdb
r11_797_TrROS_Hall.pdb,r11_797_TrROS_Hall.pdb
r11_829_TrROS_Hall.pdb,r11_829_TrROS_Hall.pdb
r11_951_TrROS_Hall.pdb,r11_951_TrROS_Hall.pdb
r12_757_TrROS_Hall.pdb,r12_757_TrROS_Hall.pdb
r15_550_TrROS_Hall.pdb,r15_550_TrROS_Hall.pdb
r16_88_TrROS_Hall.pdb,r16_88_TrROS_Hall.pdb
r18_3_TrROS_Hall.pdb,r18_3_TrROS_Hall.pdb
r3_162_TrROS_Hall.pdb,r3_162_TrROS_Hall.pdb
r4_412_TrROS_Hall.pdb,r4_412_TrROS_Hall.pdb
r4_43_TrROS_Hall.pdb,r4_43_TrROS_Hall.pdb
r6_560_TrROS_Hall.pdb,r6_560_TrROS_Hall.pdb
P00644,P00644
P00560,P00560
P9WGE7,P9WGE7
P01857,P01857
P0AEG4,P0AEG4
P04925,P04925
P01009,P01009
P69441,P69441
P03034,P03034
P00782,P00782
P05121,P05121
P03958,P03958
P03069,P03069
P02945,P02945
Q08012,Q08012
P13726,P13726
P0AEX9,P0AEX9
P00509,P00509
P00563,P00563
P0A910,P0A910
P09850,P09850
P00918,P00918
P63159,P63159
P48052,P48052
P00940,P00940
P60174,P00940
P0CG63,P0CG63
P00929,P00929
P09012,P09012
P03023,P03023
P07740,P07740
P69797,P69797
P13444,P13444
P02925,P02925
P0ACT4,P0ACT4
P62593,P62593
P26514,P26514
P02753,P02753
P0A877,P0A877
P00807,P00807
P01236,P01236
P01241,P01241
P01584,P01584
P07170,P07170
P08921,P08921
P09919,P09919
P0ACJ8,P0ACJ8
P11961,P11961
P29768,P29768
P96110,P96110
r6_831_TrROS_Hall.pdb,r6_831_TrROS_Hall.pdb
r7_587_TrROS_Hall.pdb,r7_587_TrROS_Hall.pdb
v2K43S_2KVV.pdb,v2K43S_2KVV.pdb
v2R14S|R16S_2L3X.pdb,v2R14S|R16S_2L3X.pdb
v2R31S|R32S_2N5D.pdb,v2R31S|R32S_2N5D.pdb
v2_2HDZ.pdb,v2_2HDZ.pdb
v2_2LC2.pdb,v2_2LC2.pdb
2LC2.pdb,v2_2LC2.pdb
v2_2LDM.pdb,v2_2LDM.pdb
v2_2LXE.pdb,v2_2LXE.pdb
v2_2M5A.pdb,v2_2M5A.pdb
v2_4UZX.pdb,v2_4UZX.pdb
v2_6IVS.pdb,v2_6IVS.pdb
3PG0,3PG0
P0ABQ4,P0ABQ4
P00648,P00648
P61626,P61626
P00698,P00698
P00025,P00025
P00974,P00974
P03050,P03050
P01053,P01053
P00651,P00651
P02633,P02633
P00044,P00044
P0AA25,P0AA25
P01308,P01308
P11540,P11540
P00004,P00004
P07107,P07107
P05413,P05413
P00094,P00094
P05798,P05798
P08463,P08463
P07445,P07445
P81708,P81708
P00282,P00282
P0A7Y4,P0A7Y4
P03051,P03051
P02185,P02185
P00720,P00720
P61823,P61823
P0A3H0,P0A3H0
P00099,P00099
P00257,P00257
P03706,P03706
P61024,P61024
P62942,P62942
P42771,P42771
P02625,P02625
P13479,P13479
P0A6F9,P0A6F9
P32081,P32081
1CSQ.pdb_F49A,P32081
1CSQ.pdb_F9S,P32081
P02417,P02417
P00171,P00171
P29160,P29160
P05230,P05230
Q13526,Q13526
P37001,P37001
P04166,P04166
P24297,P24297
P02631,P02631
P13123,P13123
P0A3C7,P0A3C7
P0A2D5,P0A2D5
P0AE67,P0A2D5
P00818,P00818
2IMM,2IMM
P11053,P11053
P01625,P01625
P00045,P00045
P00593,P00593
P00173,P00173
Q03026,Q03026
P0A3E0,P0A3E0
1YYX,1YYX
P04164,P04164
P04168,P04168
P00268,P00268
P00711,P00711
P00712,P00711
P01006,P01006
P01051,P01051
P02693,P02693
P07320,P07320
P08877,P08877
P0AA04,P0AA04
P10762,P10762
P19614,P19614
P22069,P22069
P30289,P30289
P41016,P41016
P42773,P42773
P69543,P69543
P06654,P06654
P04637,P04637
P37957,P37957
2JTV.pdb,2JTV.pdb
2JVD.pdb,2JVD.pdb
2JVG.pdb,2JVG.pdb
2JZ2.pdb,2JZ2.pdb
2K1B.pdb,2K1B.pdb
2K28.pdb,2K28.pdb
2K2A.pdb,2K2A.pdb
2K52.pdb_L42A,2K52.pdb_L42A
2K52.pdb_F21S,2K52.pdb_L42A
2K5H.pdb_G23A,2K5H.pdb_G23A
2K5H.pdb,2K5H.pdb_G23A
2K5H.pdb_G11S,2K5H.pdb_G23A
2K5N.pdb,2K5N.pdb
2K5P.pdb,2K5P.pdb
2K9D.pdb,2K9D.pdb
2KCF.pdb,2KCF.pdb
1I6C.pdb,2KCF.pdb
2M8I.pdb,2KCF.pdb
2M8J.pdb,2KCF.pdb
2KCM.pdb,2KCM.pdb
2KFV.pdb,2KFV.pdb
2KGT.pdb,2KGT.pdb
2KR3.pdb,2KR3.pdb
2ROT.pdb_F60A,2KR3.pdb
2ROT.pdb_W41S,2KR3.pdb
2KRS.pdb_Y53S,2KRS.pdb_Y53S
2KRS.pdb_W42A,2KRS.pdb_Y53S
2KRU.pdb,2KRU.pdb
2KVS.pdb,2KVS.pdb
2KVT.pdb,2KVT.pdb
2KWH.pdb,2KWH.pdb
2KYB.pdb_K55A,2KYB.pdb_K55A
2KT8.pdb_G54S,2KYB.pdb_K55A
2KT8.pdb_V15A,2KYB.pdb_K55A
2KYB.pdb_G2S,2KYB.pdb_K55A
2KZJ.pdb,2KZJ.pdb
2KZI.pdb_pross1,2KZJ.pdb
2L09.pdb,2L09.pdb
2L2D.pdb,2L2D.pdb
2L2P.pdb,2L2P.pdb
1A0N.pdb_L7S,2L2P.pdb
1A0N.pdb_V55A,2L2P.pdb
2LP5.pdb,2L2P.pdb
3CQT.pdb,2L2P.pdb
2L33.pdb,2L33.pdb
2L6Q.pdb,2L6Q.pdb
2L7F.pdb,2L7F.pdb
2L7M.pdb,2L7F.pdb
2L9R.pdb,2L9R.pdb
2LCL.pdb,2LCL.pdb
2LGW.pdb,2LGW.pdb
2LHC.pdb,2LHC.pdb
2JWS.pdb,2LHC.pdb
2LHR.pdb,2LHR.pdb
2LQK.pdb,2LQK.pdb
2LSS.pdb_G6S,2LSS.pdb_G6S
2LSS.pdb_F17A,2LSS.pdb_G6S
2LUM.pdb,2LUM.pdb
1PGX.pdb_A27S,2LUM.pdb
1PGX.pdb_G42A,2LUM.pdb
2LVN.pdb,2LVN.pdb
4G3O.pdb,2LVN.pdb
2LX2.pdb_I32A,2LX2.pdb_I32A
2LXK.pdb_G4A,2LXK.pdb_G4A
2LXK.pdb_F15S,2LXK.pdb_G4A
2LYR.pdb,2LYR.pdb
2LYP.pdb_P41A,2LYR.pdb
2LYP.pdb_V26S,2LYR.pdb
2LYQ.pdb,2LYR.pdb
2M0C.pdb,2M0C.pdb
2M0Y.pdb,2M0Y.pdb
2M2J.pdb,2M2J.pdb
2M2L.pdb,2M2L.pdb
2M6Y.pdb,2M6Y.pdb
2LO1.pdb,2M6Y.pdb
2M7O.pdb_I21A,2M7O.pdb_I21A
2M8E.pdb,2M8E.pdb
2M8U.pdb,2M8U.pdb
2M9E.pdb,2M9E.pdb
2M9F.pdb,2M9E.pdb
2M9I.pdb,2M9E.pdb
2MA4.pdb,2MA4.pdb
2MC5.pdb,2MC5.pdb
2MCK.pdb,2MCK.pdb
2MCH.pdb,2MCK.pdb
2MH8.pdb,2MH8.pdb
2MI6.pdb,2MI6.pdb
2MKX.pdb_N29S,2MKX.pdb_N29S
2MKX.pdb_L11A,2MKX.pdb_N29S
2MKY.pdb,2MKY.pdb
2MLB.pdb_L43D,2MLB.pdb_L43D
2MXD.pdb,2MXD.pdb
2MYX.pdb,2MYX.pdb
2N4R.pdb,2N4R.pdb
1E0L.pdb,2N4R.pdb
2MW9.pdb,2N4R.pdb
2MWA.pdb,2N4R.pdb
2MWB.pdb,2N4R.pdb
2N88.pdb,2N88.pdb
2O2W.pdb,2O2W.pdb
2OCH.pdb,2OCH.pdb
2OP7.pdb,2OP7.pdb
2PTL.pdb_L38S,2PTL.pdb_L38S
2PTL.pdb_I58A,2PTL.pdb_L38S
2QFF.pdb,2QFF.pdb
